CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,BATTERY,WEAPONS VIOLATION,OTHER OFFENSE,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,THEFT,OBSCENITY,SEX OFFENSE,BURGLARY,MOTOR VEHICLE THEFT,ASSAULT,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,NARCOTICS,ROBBERY,LIQUOR LAW VIOLATION,STALKING,PUBLIC PEACE VIOLATION,PROSTITUTION,INTIMIDATION,ARSON,HOMICIDE,HUMAN TRAFFICKING,KIDNAPPING,PUBLIC INDECENCY,NON - CRIMINAL,GAMBLING,NON-CRIMINAL,CONCEALED CARRY LICENSE VIOLATION,OTHER NARCOTIC VIOLATION
4,82,133,8,47,44,5,146,0,1,30,30,63,16,1,52,26,1,0,12,7,0,4,1,0,2,0,0,2,0,0,0
2,84,136,12,52,51,6,164,0,6,32,40,52,16,2,66,20,0,0,12,4,0,3,2,0,0,0,0,1,0,0,0
2,70,107,8,47,46,4,145,0,4,39,23,48,15,1,61,21,1,0,7,10,0,1,1,0,1,0,0,0,0,0,0
7,91,147,7,64,102,11,183,0,9,36,40,74,21,2,65,24,2,1,12,7,2,2,5,0,0,0,0,2,0,0,0
2,75,163,6,39,38,4,145,0,5,25,34,59,14,2,48,16,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0
3,106,205,7,46,21,3,167,0,3,19,27,56,18,6,30,17,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0
7,72,180,11,59,46,5,144,0,1,36,22,60,25,5,64,30,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0
3,69,122,6,66,46,3,150,0,3,35,22,51,20,7,63,18,0,1,2,2,0,0,1,0,0,0,0,2,0,0,0
5,90,124,7,71,38,9,144,2,4,42,30,47,8,3,70,22,0,1,11,3,0,1,0,0,2,0,0,1,0,0,0
1,70,175,9,43,39,8,178,0,2,41,15,71,25,7,81,16,0,0,12,14,1,1,2,0,1,0,1,3,0,0,0
4,85,171,5,64,41,12,167,0,1,35,39,50,16,3,63,30,1,2,5,8,0,1,0,0,0,0,1,0,0,0,0
2,87,144,8,34,35,6,137,0,3,25,25,50,15,6,65,22,1,0,7,9,0,0,1,0,1,0,0,1,0,0,0
5,106,160,13,51,30,8,158,0,3,35,23,45,16,2,56,17,0,1,4,0,0,1,3,0,0,0,0,1,0,0,0
2,77,154,7,52,42,1,149,1,3,38,29,54,13,6,74,25,0,1,7,0,1,0,1,0,0,0,0,1,0,0,0
2,73,144,7,56,51,4,164,0,2,36,26,49,21,3,74,21,1,2,6,6,0,3,0,0,1,0,0,0,0,0,0
4,79,147,7,54,46,3,178,0,1,35,24,49,19,4,72,25,0,2,11,1,0,0,2,0,0,0,0,1,0,0,0
2,75,121,15,66,40,6,171,0,1,41,34,61,18,1,73,18,0,0,2,3,1,0,1,0,1,1,1,2,0,0,0
6,76,170,10,57,39,5,168,0,2,35,33,67,15,5,80,16,1,0,13,13,0,0,0,0,0,0,0,3,0,0,0
9,117,217,9,57,42,9,173,0,2,33,33,57,15,1,52,31,0,0,5,11,0,1,1,0,0,0,0,1,0,2,0
4,128,222,14,48,28,6,154,0,1,30,21,41,13,9,72,22,0,1,12,4,0,3,0,0,0,0,0,0,0,1,0
4,84,155,14,64,41,8,153,0,4,29,20,53,14,3,62,24,0,0,12,1,0,3,2,0,0,0,0,3,0,0,0
1,74,133,9,76,31,3,159,3,5,40,15,51,15,2,66,15,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0
4,81,135,6,57,37,0,138,0,2,36,31,58,19,4,63,31,1,1,6,8,0,2,3,0,0,0,0,0,0,0,0
3,73,136,11,70,45,4,155,1,4,29,34,52,21,2,59,15,1,0,8,11,1,0,1,0,0,0,0,3,0,1,0
2,82,154,16,55,40,8,182,0,2,55,25,53,22,0,75,26,1,0,8,7,0,3,1,0,1,0,0,1,0,0,0
3,109,143,11,47,35,2,179,0,1,35,30,62,21,5,57,23,1,2,8,9,2,2,4,0,1,0,0,3,0,0,0
5,81,171,10,34,20,9,134,0,4,28,25,43,20,2,51,31,1,0,6,1,0,2,6,0,0,0,0,0,0,1,0
3,78,186,11,44,25,7,124,0,3,37,25,40,18,3,54,28,0,0,8,3,0,4,3,0,1,0,0,1,0,0,0
4,80,169,9,53,38,3,162,0,3,34,17,55,19,3,67,30,1,1,9,4,0,0,0,0,0,0,0,4,0,0,0
2,75,135,8,58,34,4,158,0,2,30,24,58,23,3,73,25,2,1,9,1,1,1,0,0,3,0,0,3,0,0,0
2,79,165,13,45,43,6,174,1,1,39,29,61,21,2,54,31,1,0,10,9,1,3,2,0,1,0,0,3,0,0,0
3,54,147,10,57,46,7,192,0,2,44,37,61,19,6,86,31,2,0,6,7,1,0,1,0,0,0,0,2,0,1,0
1,90,152,10,40,35,4,160,0,6,34,38,39,15,3,43,28,1,0,4,6,0,0,5,0,1,0,0,0,0,0,0
3,81,136,12,47,35,5,133,0,3,26,23,46,20,6,53,21,1,0,8,1,0,0,3,0,0,0,0,0,0,0,0
9,84,146,5,79,109,17,177,1,10,40,29,66,19,4,72,32,0,1,8,0,0,3,1,0,1,0,0,0,0,0,0
8,72,158,16,53,43,3,170,0,6,33,22,55,21,4,65,14,4,0,7,6,2,2,2,0,0,0,0,1,0,0,0
